SUMMARY
Metric,Value
Total Challenges,21
Total Submissions,400
Deleted Submissions,0
Eligible For Cleanup,0
Deletion Rate,0.0

CHALLENGES
Challenge ID,Title,Host Team,Host Emails,Has Consent,Consent Date,Consent By,Retention Policy,Admin Override,Total Submissions,Deleted Submissions,Eligible for Cleanup
8,Alexis Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
5,Chad Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
18,Cynthia Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
7,Dawn Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
21,Default Challenge - Local 2060 V2,Test Host Team,,No,,,indefinite,,0,0,0
4,Jenna Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
16,Kathleen Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
1,Kevin Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
19,Kevin Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
10,Michael Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
2,Michael Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
6,Pamela Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
9,Pamela Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
17,Rebecca Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
11,Rita Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
12,Summer Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
20,Tanya Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
3,Taylor Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
14,Tommy Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
15,Tommy Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
13,Tracy Challenge,Samanthaburgh Host Team,,No,,,indefinite,,20,0,0
